job_name,source_name,source_lh,source_path,source_type,target_name,target_lh,target_path,target_type,target_description,dataframe_function,pre_verification_functions,post_verification_functions,load_type,source_column_name,source_column_type,source_pk,source_strip_whitespace,source_is_nullable,source_version_monitored,target_column_name,target_column_type,target_is_nullable,target_column_description,target_pk,target_business_key,column_functions
nmlaccmf_d,nmlaccmf_d,bronze,/Files/Unprocessed/,table,bnz_nmlaccmf_d_1,bronze,/Tables/bronze_fin/,table,Table based on nmlaccmf_d table ,,someVerifFunc$param='\$'|anotherFunc$p='xyz',,merge,GLCODE,string,TRUE,TRUE,FALSE,TRUE,glcode,string,FALSE,,TRUE,FALSE,
,,,,,,,,,,,,,,POSTING_YEAR,string,TRUE,TRUE,FALSE,TRUE,posting_year,string,FALSE,,TRUE,FALSE,
,,,,,,,,,,,,,,DSET,string,TRUE,TRUE,FALSE,TRUE,dset,string,FALSE,,TRUE,FALSE,
,,,,,,,,,,,,,,PERIOD_0,decimal,FALSE,FALSE,TRUE,TRUE,period_0,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_1,decimal,FALSE,FALSE,TRUE,TRUE,period_1,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_2,decimal,FALSE,FALSE,TRUE,TRUE,period_2,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_3,decimal,FALSE,FALSE,TRUE,TRUE,period_3,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_4,decimal,FALSE,FALSE,TRUE,TRUE,period_4,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_5,decimal,FALSE,FALSE,TRUE,TRUE,period_5,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_6,decimal,FALSE,FALSE,TRUE,TRUE,period_6,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_7,decimal,FALSE,FALSE,TRUE,TRUE,period_7,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_8,decimal,FALSE,FALSE,TRUE,TRUE,period_8,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_9,decimal,FALSE,FALSE,TRUE,TRUE,period_9,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_10,decimal,FALSE,FALSE,TRUE,TRUE,period_10,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_11,decimal,FALSE,FALSE,TRUE,TRUE,period_11,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_12,decimal,FALSE,FALSE,TRUE,TRUE,period_12,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,PERIOD_13,decimal,FALSE,FALSE,TRUE,TRUE,period_13,decimal,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,LEFT_OVER,integer ,FALSE,FALSE,TRUE,TRUE,left_over,integer,TRUE,,FALSE,FALSE,
,,,,,,,,,,,,,,COMPANY_ID,string,TRUE,TRUE,FALSE,TRUE,company_id,string,FALSE,,TRUE,FALSE,
